location_name,weight
Alabama,51.08468
Alaska,7.33406
Arizona,74.31344
Arkansas,30.67732
California,389.65193
Colorado,58.7761
Connecticut,36.17176
Delaware,10.3189
District of Columbia,6.78972
Florida,226.10726
Georgia,110.29227
Hawaii,14.35138
Idaho,19.64726
Illinois,125.49689
Indiana,68.62199
Iowa,32.07004
Kansas,29.40546
Kentucky,45.26154
Louisiana,45.73749
Maine,13.95722
Maryland,61.80253
Massachusetts,70.01399
Michigan,100.37261
Minnesota,57.37915
Mississippi,29.3969
Missouri,61.96156
Montana,11.32812
Nebraska,19.78379
Nevada,31.94176
New Hampshire,14.02054
New Jersey,92.90841
New Mexico,21.14371
New York,195.71216
North Carolina,108.35491
North Dakota,7.83926
Ohio,117.85935
Oklahoma,40.53824
Oregon,42.33358
Pennsylvania,129.61683
Puerto Rico,32.05691
Rhode Island,10.95962
South Carolina,53.73555
South Dakota,9.19318
Tennessee,71.26489
Texas,305.03301
Utah,34.17734
Vermont,6.47464
Virginia,87.15698
Washington,78.1288
West Virginia,17.70071
Wisconsin,59.10955
Wyoming,5.84057
